Year,Company,Profit,,,,,,
2010,Microsoft,18.76,,,,,,
2011,Microsoft,23.15,,,,,,
2012,Microsoft,16.98,,,,,,
2013,Microsoft,21.86,,,,,,
2014,Microsoft,22.07,,,,,,
2015,Microsoft,12.19,,,,,,
2016,Microsoft,16.8,,,,,,
2017,Microsoft,21.2,,,,,,
2010,Alphabet,8.372,,,,,,
2011,Alphabet,9.706,,,,,,
2012,Alphabet,10.179,,,,,,
2013,Alphabet,12.733,,,,,,
2014,Alphabet,14.136,,,,,,
2015,Alphabet,16.348,,,,,,
2016,Alphabet,19.478,,,,,,
2017,Alphabet,12.662,,,,,,
2010,Amazon,1.152,,,,,,
2011,Amazon,0.631,,,,,,
2012,Amazon,0.139,,,,,,
2013,Amazon,0.274,,,,,,
2014,Amazon,0.241,,,,,,
2015,Amazon,0.596,,,,,,
2016,Amazon,2.371,,,,,,
2017,Amazon,3.033,,,,,,
