Year,Country,Winner,Runners-Up
1930,Uruguay,Uruguay,Argentina
1934,Italy,Italy,Czechoslovakia
1938,France,Italy,Hungary
1950,Brazil,Uruguay,Brazil
1954,Switzerland,Germany FR,Hungary
1958,Sweden,Brazil,Sweden
1962,Chile,Brazil,Czechoslovakia
1966,England,England,Germany FR
1970,Mexico,Brazil,Italy
1974,Germany,Germany FR,Netherlands
1978,Argentina,Argentina,Netherlands
1982,Spain,Italy,Germany FR
1986,Mexico,Argentina,Germany FR
1990,Italy,Germany FR,Argentina
1994,USA,Brazil,Italy
1998,France,France,Brazil
2002,Korea/Japan,Brazil,Germany
2006,Germany,Italy,France
2010,South Africa,Spain,Netherlands
2014,Brazil,Germany,Argentina
